,title,pageID,w0Edits,w1Edits,w2Edits,w3Edits,w4Edits,w5Edits,w6Edits,w7Edits,w0EditorsCount,w1EditorsCount,w2EditorsCount,w3EditorsCount,w4EditorsCount,w5EditorsCount,w6EditorsCount,w7EditorsCount
0,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats,11234826,20.0,106.0,42.0,23.0,40.0,18.0,12.0,6.0,7.0,25.0,14.0,6.0,12.0,11.0,7.0,1.0
1,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Ranked_voting_system,11252854,0.0,12.0,21.0,7.0,6.0,15.0,2.0,4.0,0.0,7.0,7.0,4.0,5.0,5.0,2.0,2.0
2,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Quotas,11245541,0.0,15.0,5.0,20.0,16.0,26.0,4.0,3.0,0.0,10.0,3.0,5.0,6.0,5.0,3.0,1.0
3,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Call_for_types_of_skills_and_experience,11251703,0.0,12.0,3.0,4.0,8.0,3.0,0.0,3.0,0.0,7.0,1.0,2.0,5.0,2.0,0.0,2.0
4,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Vetting_of_candidates,11251705,0.0,9.0,3.0,0.0,6.0,6.0,1.0,1.0,0.0,7.0,3.0,0.0,3.0,4.0,1.0,1.0
5,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Board-delegated_Selection_Committee,11251707,0.0,12.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,6.0,2.0,1.0,2.0,1.0,0.0,2.0
6,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Community-elected_Selection_Committee,11251708,0.0,8.0,6.0,3.0,2.0,2.0,1.0,3.0,0.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0
7,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Election_of_confirmed_candidates,11251709,0.0,5.0,5.0,10.0,34.0,6.0,1.0,2.0,0.0,4.0,4.0,5.0,8.0,5.0,1.0,1.0
8,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Direct_appointment_of_confirmed_candidates,11251710,0.0,8.0,0.0,10.0,14.0,5.0,2.0,1.0,0.0,5.0,0.0,5.0,4.0,3.0,1.0,1.0
9,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Regional_seats,11257893,0.0,0.0,4.0,1.0,15.0,2.0,9.0,2.0,0.0,0.0,3.0,1.0,4.0,1.0,5.0,2.0
10,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Specialization_seats,11258637,0.0,0.0,7.0,14.0,10.0,2.0,0.0,3.0,0.0,0.0,3.0,7.0,5.0,1.0,0.0,2.0
11,Talk:Wikimedia_Foundation_Board_of_Trustees/Call_for_feedback:_Community_Board_seats/Candidate_resources,11271164,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
